Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,11263.7,0,56:13.3,02:30.1,3.33,00:00.0,0,23,1096,10.3,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1076.8,0,06:17.5,03:28.3,2.4,00:00.0,0,10.5,101,15.3,0,---,---,---,---,---,---,---,---,---,---,52.2170354,0.1456977,,,,,,
1,1092.5,0,06:23.0,03:17.6,2.53,00:00.0,0,10.5,102,15.7,0,---,---,---,---,---,---,---,---,---,---,52.217171,0.14576,,,,,,
1,1109.7,0,06:29.3,03:24.0,2.45,00:00.0,0,35,103,17.2,0,---,---,---,---,---,---,---,---,---,---,52.2173097,0.1458721,,,,,,
1,1126.5,0,06:36.3,03:54.7,2.13,00:00.0,0,15.5,104,16.8,0,---,---,---,---,---,---,---,---,---,---,52.2174707,0.1461168,,,,,,
1,1138.2,0,06:39.7,03:13.7,2.58,00:00.0,0,16,105,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2175396,0.1462461,,,,,,
1,1150.9,0,06:43.5,02:48.3,2.97,00:00.0,0,16.5,106,12.7,0,---,---,---,---,---,---,---,---,---,---,52.2176043,0.1463992,,,,,,
1,1162.3,0,06:46.9,02:40.2,3.12,00:00.0,0,16.5,107,11.4,0,---,---,---,---,---,---,---,---,---,---,52.217657,0.1465431,,,,,,
1,1174.2,0,06:50.5,02:35.2,3.22,00:00.0,0,16.5,108,11.9,0,---,---,---,---,---,---,---,---,---,---,52.2176983,0.1467047,,,,,,
1,1186.5,0,06:53.9,02:26.1,3.42,00:00.0,0,17,109,12.2,0,---,---,---,---,---,---,---,---,---,---,52.2177384,0.1468713,,,,,,
1,1198.5,0,06:57.3,02:17.3,3.64,00:00.0,0,19,110,12,0,---,---,---,---,---,---,---,---,---,---,52.2177762,0.1470364,,,,,,
1,1209.7,0,07:00.3,02:13.6,3.74,00:00.0,0,19,111,11.2,0,---,---,---,---,---,---,---,---,---,---,52.2178118,0.1471895,,,,,,
1,1222,0,07:03.4,02:11.5,3.8,00:00.0,0,19,112,12.3,0,---,---,---,---,---,---,---,---,---,---,52.2178457,0.1473617,,,,,,
1,1255.7,0,07:15.2,04:54.1,1.7,00:00.0,0,14.5,113,33.7,0,---,---,---,---,---,---,---,---,---,---,52.2179993,0.1483991,,,,,,
1,1262.1,0,07:19.2,04:55.8,1.69,00:00.0,0,11.5,114,6.4,0,---,---,---,---,---,---,---,---,---,---,52.2180205,0.1484858,,,,,,
1,1272.1,0,07:23.7,04:19.0,1.93,00:00.0,0,14.5,115,10,0,---,---,---,---,---,---,---,---,---,---,52.21805,0.1486242,,,,,,
1,1283.7,0,07:27.4,03:15.3,2.56,00:00.0,0,15,116,11.6,0,---,---,---,---,---,---,---,---,---,---,52.2181035,0.14877,,,,,,
1,1296.9,0,07:31.4,02:39.7,3.13,00:00.0,0,15.5,117,13.2,0,---,---,---,---,---,---,---,---,---,---,52.2181574,0.1489418,,,,,,
