Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4342.4,0,20:25.9,02:21.2,3.54,00:00.0,0,30.5,526,8.3,0,153,---,---,---,---,---,---,---,---,---,52.236077,0.1735645
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,697.5,0,02:32.8,01:54.4,4.37,00:00.0,0,37,98,7.6,0,175,---,---,---,---,---,---,---,---,---,52.2302605,0.1704757
1,703.8,0,02:34.5,01:55.2,4.34,00:00.0,0,35,99,6.3,0,175,---,---,---,---,---,---,---,---,---,52.2302054,0.1704556
1,712.1,0,02:36.0,01:49.6,4.56,00:00.0,0,37,100,8.3,0,175,---,---,---,---,---,---,---,---,---,52.2301329,0.1704303
1,719.1,0,02:37.6,01:47.2,4.66,00:00.0,0,37,101,7.1,0,175,---,---,---,---,---,---,---,---,---,52.2300696,0.1704193
1,727.2,0,02:39.4,01:48.6,4.6,00:00.0,0,35,102,8,0,175,---,---,---,---,---,---,---,---,---,52.2299981,0.1704024
1,734.5,0,02:41.0,01:49.6,4.56,00:00.0,0,36.5,103,7.4,0,174,---,---,---,---,---,---,---,---,---,52.2299332,0.1703826
1,741.8,0,02:42.6,01:49.6,4.56,00:00.0,0,37,104,7.2,0,175,---,---,---,---,---,---,---,---,---,52.2298691,0.1703649
1,749,0,02:44.2,01:49.6,4.56,00:00.0,0,35.5,105,7.2,0,175,---,---,---,---,---,---,---,---,---,52.229805,0.1703479
1,756.1,0,02:45.8,01:51.1,4.5,00:00.0,0,37,106,7.1,0,175,---,---,---,---,---,---,---,---,---,52.2297421,0.1703345
1,763.8,0,02:47.6,01:52.1,4.46,00:00.0,0,36.5,107,7.7,0,174,---,---,---,---,---,---,---,---,---,52.229673,0.1703232
1,770.9,0,02:49.4,01:52.1,4.46,00:00.0,0,37,108,7.1,0,175,---,---,---,---,---,---,---,---,---,52.2296096,0.1703128
1,777.7,0,02:50.8,01:51.3,4.49,00:00.0,0,37,109,6.8,0,175,---,---,---,---,---,---,---,---,---,52.2295491,0.1702975
1,783.8,0,02:52.4,01:54.1,4.38,00:00.0,0,35,110,6.1,0,174,---,---,---,---,---,---,---,---,---,52.2294945,0.1702934
1,792.1,0,02:54.2,01:55.4,4.33,00:00.0,0,37,111,8.4,0,174,---,---,---,---,---,---,---,---,---,52.2294197,0.1702843
1,798.7,0,02:55.8,01:54.4,4.37,00:00.0,0,35,112,6.5,0,175,---,---,---,---,---,---,---,---,---,52.2293612,0.1702784
1,806.1,0,02:57.6,01:56.8,4.28,00:00.0,0,35,113,7.5,0,175,---,---,---,---,---,---,---,---,---,52.2292941,0.1702698
1,813.2,0,02:59.2,01:58.7,4.21,00:00.0,0,35,114,7,0,175,---,---,---,---,---,---,---,---,---,52.2292315,0.1702551
1,820.6,0,03:01.0,01:56.8,4.28,00:00.0,0,37,115,7.4,0,175,---,---,---,---,---,---,---,---,---,52.2291653,0.1702443
1,827.5,0,03:02.6,01:57.0,4.27,00:00.0,0,35,116,6.9,0,175,---,---,---,---,---,---,---,---,---,52.2291041,0.1702326
1,834.2,0,03:04.4,01:59.0,4.2,00:00.0,0,37,117,6.8,0,175,---,---,---,---,---,---,---,---,---,52.2290436,0.1702203
